timestamp,time_utc,up_price,down_price,combined,up_volume,down_volume,trades
1767953750,10:15:50,0.5708413286323331,0.42940695389661243,1.0002482825289456,121.525057,172.40342599999994,46
1767953752,10:15:52,0.5783508630697185,0.42178078784538303,1.0001316509151015,917.8485619999999,932.5501879999999,44
1767953754,10:15:54,0.5706589167199948,0.42934108328000525,1.0,191.490694,191.490694,40
1767953756,10:15:56,0.575103924140322,0.42489607585967804,1.0,15.674413999999999,15.674413999999999,10
1767953758,10:15:58,0.5685451464145916,0.4313440906514704,0.999889237066062,60.624183,65.61976299999999,28
1767953760,10:16:00,0.5770242844113326,0.4229757155886673,0.9999999999999999,133.426582,133.426582,24
1767953762,10:16:02,0.580596974792197,0.4193089922694487,0.9999059670616457,452.671978,391.071978,69
1767953764,10:16:04,0.5892165980284827,0.41080218509335487,1.0000187831218375,459.53551699999997,448.775517,35
1767953766,10:16:06,0.5902049149108266,0.40977316199203995,0.9999780769028666,1395.705119,1260.8151189999999,62
1767953768,10:16:08,0.5881695958688661,0.4116328551975608,0.999802451066427,362.95622299999997,259.88622300000003,41
1767953770,10:16:10,0.5832393606917425,0.41690206220875703,1.0001414229004997,109.527445,114.52744500000001,33
1767953772,10:16:12,0.5831279072933497,0.41704493340084914,1.0001728406941988,427.426338,452.426338,31
1767953774,10:16:14,0.5810912761746764,0.41890872382532357,1.0,498.252388,498.252388,36
1767953776,10:16:16,0.5851631030400342,0.4147611151987645,0.9999242182387986,229.63918999999999,251.35720099999995,56
1767953778,10:16:18,0.5900914119638492,0.40857736956671975,0.9986687815305689,547.012206,35.147069,38
1767953780,10:16:20,0.5916451488989131,0.408447052941002,1.000092201839915,211.71534699999998,224.28534699999997,81
1767953782,10:16:22,0.5900000231849158,0.40999997681508404,0.9999999999999999,99.20243,99.20243,20
1767953784,10:16:24,0.5987641623681127,0.40123583763188747,1.0000000000000002,203.080885,203.080885,50
1767953786,10:16:26,0.593995153771815,0.40532977446308965,0.9993249282349046,43.344224000000004,48.834224,13
