wallet,market_slug,market_question,winning_outcome,id,timestamp,datetime,side,outcome,shares,usdc,price,role,tx_hash,fee
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x1f3a87fe5d5601f59baf005c2f7fbbd3c9ff10c2f5b82cbfe3b0d19f3d539dab_0x7dbac088ded89720d4a212cb3c797a645b132ba4455afd60d5f21fe4bc454665,1768030164,2026-01-10T08:29:24,BUY,Up,15.0,4.95,0.33,maker,0x1f3a87fe5d5601f59baf005c2f7fbbd3c9ff10c2f5b82cbfe3b0d19f3d539dab,1.5
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xbb5a1222d7ca6fcf8117158aeac911b74e1ee251bdc93d043d12136446c6e7e4_0xb37790ace60bb3b617a3ba0d35e5805cc200483291328a7158cb32f1bada32e8,1768030166,2026-01-10T08:29:26,BUY,Down,10.1,6.363,0.6300000000000001,maker,0xbb5a1222d7ca6fcf8117158aeac911b74e1ee251bdc93d043d12136446c6e7e4,0.593174
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xc5cee54382f1b71d2233fb8b422b12d606b6b4cdd4ccc48fbbe58341f3e22a8a_0x9f6aabfb4b6614c4d3dc4970920892e5099b2eb16bc4a2b461c05bef53ac7699,1768030166,2026-01-10T08:29:26,BUY,Down,0.05,0.0305,0.61,maker,0xc5cee54382f1b71d2233fb8b422b12d606b6b4cdd4ccc48fbbe58341f3e22a8a,0.003196
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d_0x705fa110be2a33860885203b295a377a1e43e09ecd8edbe89330f51ecf38bee8,1768030168,2026-01-10T08:29:28,BUY,Down,15.0,9.45,0.63,maker,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d,0.880952
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d_0x9f6aabfb4b6614c4d3dc4970920892e5099b2eb16bc4a2b461c05bef53ac7699,1768030168,2026-01-10T08:29:28,BUY,Down,1.27,0.7747,0.61,maker,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d,0.081196
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d_0xabe21d5097f1e7903016b8a8c7218013b3c1de2886c7489a201e69c850394824,1768030168,2026-01-10T08:29:28,BUY,Down,15.0,9.3,0.62,maker,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d,0.919354
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d_0xae495268db46674e6238797c2a4800562496ae833c4a1b7bb89da11fbb4b49de,1768030168,2026-01-10T08:29:28,BUY,Down,15.0,9.45,0.63,maker,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d,0.880952
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d_0xe7f6fe6978c00a9987a846745d5d3b24ed660a7e5820ea52878b19ed48d8ccfe,1768030168,2026-01-10T08:29:28,BUY,Down,14.0,8.82,0.63,maker,0x5b509a012ce36e1a0954390fd432e877d5d31159e73c308c9d4d5448370c702d,0.822222
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x56d2b1941c02ded7ff69bdc86bd815d38b1dc6d98d35036e2607e00b7439b9d4_0x94ba31c5d833002908b56156fd64e5a611cf3412d68c6741248251efd3b20aed,1768030170,2026-01-10T08:29:30,BUY,Up,14.0,4.9,0.35000000000000003,maker,0x56d2b1941c02ded7ff69bdc86bd815d38b1dc6d98d35036e2607e00b7439b9d4,1.4
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xbe1f07b2565a222165068416917df20c33a9933032b29450079fe3d026ef6454_0xde488ab6567dd7c243877900cebac0510b2eb68b06668ace418c1462595a9813,1768030170,2026-01-10T08:29:30,BUY,Up,5.0,1.7,0.33999999999999997,maker,0xbe1f07b2565a222165068416917df20c33a9933032b29450079fe3d026ef6454,0.5
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xbe6dcd05a1bf234e7bed25f6096f3c8c3d4c1834a2571e986aed2b7396bb49f3_0x11f7f0ce27577535e0d2b87836527980e60c12404158e2ccc878b16bb455631a,1768030170,2026-01-10T08:29:30,BUY,Down,14.0,8.54,0.61,maker,0xbe6dcd05a1bf234e7bed25f6096f3c8c3d4c1834a2571e986aed2b7396bb49f3,0.895081
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x8a6057e0c874f6880d07781d1bbfc115aab3eb3c086e08a51b6785cda6a57db3_0x91e1cd352ecd7be3f150f7b238f54a3f1a0ae5766c423859a4bde47eda9ec352,1768030172,2026-01-10T08:29:32,BUY,Down,14.0,8.82,0.63,maker,0x8a6057e0c874f6880d07781d1bbfc115aab3eb3c086e08a51b6785cda6a57db3,0.822222
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x0989529180dd409682578f937c433ecb818550ba8c407aa44f70717ef82cac6c_0x62a8e786b05ac99161031a5a7be0b2691ae36e595fe85572bdee79a1f9656124,1768030178,2026-01-10T08:29:38,BUY,Up,14.0,7.14,0.51,maker,0x0989529180dd409682578f937c433ecb818550ba8c407aa44f70717ef82cac6c,1.345098
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x33fb33e15ae2c7bed1790f25ebeaa4e35cbeef64364f77baf51b4094f68931aa_0x37a2052a936635b7e4991f26b5fab8ea435d56c23b6f00fee4d6719a7a6b8250,1768030178,2026-01-10T08:29:38,BUY,Up,14.0,9.24,0.66,maker,0x33fb33e15ae2c7bed1790f25ebeaa4e35cbeef64364f77baf51b4094f68931aa,0.721212
